GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-core-task,com.example.gymcrm.facade,GymFacade,8,78,0,0,2,19,2,14,2,14
spring-core-task,com.example.gymcrm.dao,TrainerDao,14,37,0,0,2,10,2,6,2,6
spring-core-task,com.example.gymcrm.dao,TraineeDao,14,37,0,0,2,10,2,6,2,6
spring-core-task,com.example.gymcrm.dao,TrainingDao,0,37,0,0,0,10,0,6,0,6
spring-core-task,com.example.gymcrm.initialize,StorageInitializer,600,0,24,0,151,0,21,0,8,0
spring-core-task,com.example.gymcrm.service,TrainingService,0,183,3,11,0,35,3,16,0,12
spring-core-task,com.example.gymcrm.service,CredentialsGenerator,3,57,0,4,1,15,1,5,1,3
spring-core-task,com.example.gymcrm.service,TrainerService,5,149,1,3,1,38,1,8,0,7
spring-core-task,com.example.gymcrm.service,TraineeService,5,181,1,5,1,46,1,10,0,8
spring-core-task,com.example.gymcrm.config,AppConfig,3,0,0,0,1,0,1,0,1,0
spring-core-task,com.example.gymcrm.model,Trainer,13,22,0,0,5,8,3,5,3,5
spring-core-task,com.example.gymcrm.model,User,0,38,0,0,0,16,0,11,0,11
spring-core-task,com.example.gymcrm.model,Trainee,19,23,0,0,7,9,5,5,5,5
spring-core-task,com.example.gymcrm.model,Training,3,49,0,0,1,21,1,14,1,14
spring-core-task,com.example.gymcrm.model,TrainingType,33,67,6,0,6,12,5,2,2,2
spring-core-task,com.example.gymcrm.storage,TrainerStorage,0,11,0,0,0,3,0,2,0,2
spring-core-task,com.example.gymcrm.storage,TrainingStorage,0,11,0,0,0,3,0,2,0,2
spring-core-task,com.example.gymcrm.storage,TraineeStorage,0,11,0,0,0,3,0,2,0,2
spring-core-task,com.example.gymcrm,GymCrmApplication,76,0,0,0,18,0,3,0,3,0
